Date,Open,High,Low,Close,Adj Close,Volume,Div
01/11/2021,176.699997,178,175,175.669998,175.249466,192900,
02/11/2021,175.979996,179.610001,175.229996,178.160004,177.733521,167400,
03/11/2021,178.399994,180.110001,176.339996,178.429993,178.002853,252000,
04/11/2021,178.740005,181.360001,178.229996,179.410004,178.98053,259900,
05/11/2021,181.080002,182.199997,175.830002,176.880005,176.456573,349100,
08/11/2021,178.800003,183.929993,176.869995,178.020004,177.593842,190100,
09/11/2021,178.139999,178.5,176.100006,176.619995,176.197189,210500,
10/11/2021,175.699997,177.089996,175.039993,175.759995,175.339249,213900,
11/11/2021,176.389999,179.009995,174.809998,178.449997,178.022812,189400,
12/11/2021,179.630005,181.720001,178.630005,179.710007,179.279816,148500,
15/11/2021,180.710007,181.270004,178.960007,179.75,179.319717,132800,
16/11/2021,179.350006,182.330002,179.100006,181.889999,181.45459,222400,
17/11/2021,181.940002,186.679993,179.410004,183.649994,183.210358,269200,
18/11/2021,185.960007,189.979996,180.009995,187.880005,187.430252,298800,
19/11/2021,187,190.509995,187,189.449997,188.996475,273100,
22/11/2021,189.330002,192.910004,187.710007,188.419998,187.968948,271200,
23/11/2021,187.710007,190.710007,185.690002,190.380005,189.924255,224900,
24/11/2021,189.520004,190.669998,187.820007,190,189.545166,122000,
26/11/2021,186.009995,190.880005,183.080002,184.350006,183.908691,195000,
29/11/2021,187.229996,190.339996,186.350006,188.789993,188.338058,226600,
30/11/2021,187.369995,189.649994,183.759995,184.679993,184.2379,238600,
01/12/2021,188.179993,191.149994,180.179993,180.559998,180.323044,280800,0.2
02/12/2021,180.860001,189.649994,180,187.899994,187.653412,384500,
03/12/2021,189.490005,189.490005,182.100006,183.940002,183.698608,289200,
06/12/2021,187.149994,189.169998,184.119995,184.429993,184.187958,235000,
07/12/2021,187.809998,190.830002,186.259995,189.300003,189.051575,183100,
08/12/2021,189.339996,190.339996,187.389999,188.759995,188.512283,278200,
09/12/2021,187.910004,188.059998,174.649994,174.800003,174.570618,329500,
10/12/2021,175.860001,176.639999,169.460007,171.929993,171.704361,389000,
13/12/2021,172.160004,173.600006,166.850006,168.050003,167.829468,420200,
14/12/2021,167.529999,170.75,166.220001,169.910004,169.687027,484600,
15/12/2021,171.190002,171.300003,165.050003,168.080002,167.859421,400200,
16/12/2021,169.509995,171.619995,168.929993,170.360001,170.136429,316800,
17/12/2021,168.169998,169.570007,161.039993,162.309998,162.097,855700,
20/12/2021,159.589996,161.669998,155.75,161.110001,160.898575,319400,
21/12/2021,162.880005,164.179993,160.410004,161.220001,161.008423,308300,
22/12/2021,162.509995,164.979996,162.259995,164.919998,164.703568,317000,
23/12/2021,166.529999,168.639999,165.729996,167.889999,167.669678,190800,
27/12/2021,168.580002,168.580002,165.529999,166.309998,166.091751,270500,
28/12/2021,166.509995,168.490005,165.070007,166.580002,166.361389,387600,
29/12/2021,166.990005,170.699997,166.470001,169.850006,169.627106,171300,
30/12/2021,170.539993,172.360001,163.190002,168.869995,168.648392,188500,
31/12/2021,168.139999,170.839996,168.050003,169.800003,169.577179,252600,
03/01/2022,169.970001,171.520004,165.600006,171.350006,171.125137,396700,
04/01/2022,173.179993,176.460007,171.179993,172.350006,172.123825,278700,
05/01/2022,171.369995,171.369995,156.470001,156.919998,156.714066,559900,
06/01/2022,157.440002,158.199997,154.860001,156.039993,155.83522,496300,
07/01/2022,156.039993,156.789993,152.839996,152.929993,152.729294,242900,
10/01/2022,150.919998,154.860001,149.240005,154.449997,154.247314,375200,
11/01/2022,155.449997,155.490005,149.820007,153.570007,153.368469,204000,
12/01/2022,155,155.529999,152.369995,152.660004,152.459671,336000,
13/01/2022,153.800003,154.589996,151.710007,152.009995,151.810516,215000,
14/01/2022,149.740005,150.710007,145.25,147.820007,147.626022,297000,
18/01/2022,145.509995,146.470001,142.779999,144.130005,143.940857,208400,
19/01/2022,144.899994,146.25,141.539993,141.919998,141.733749,321800,
20/01/2022,144.699997,146.929993,140.679993,141.210007,141.024689,325400,
21/01/2022,140.130005,144.259995,139.009995,139.619995,139.436768,285800,
24/01/2022,137.880005,143.899994,135.550003,143.110001,142.922195,344900,
25/01/2022,140.240005,142,133.729996,135.710007,135.531906,377900,
26/01/2022,137.639999,139.229996,130.460007,132.710007,132.535843,472800,
27/01/2022,134.809998,135.199997,127.440002,128.600006,128.431244,321000,
28/01/2022,129.399994,132.820007,126.629997,132.610001,132.435974,279200,
31/01/2022,132.610001,139.429993,132.610001,139.190002,139.007339,473100,
01/02/2022,139.880005,141.520004,136.289993,141.449997,141.264374,393400,
02/02/2022,140.660004,142.369995,138.940002,140.929993,140.745041,334900,
03/02/2022,141.160004,149.940002,141.160004,146.940002,146.747177,533300,
04/02/2022,146.369995,149.770004,144.880005,147.690002,147.496185,431100,
07/02/2022,146.690002,149.440002,145.779999,146.380005,146.187912,287500,
08/02/2022,146.619995,153.240005,146.619995,152.850006,152.649414,853000,
09/02/2022,153.779999,155.220001,150.410004,152.399994,152.199997,476300,
10/02/2022,149.179993,151.050003,148.5,149.179993,149.179993,480700,0.2
11/02/2022,149.910004,152.009995,148.130005,149.759995,149.759995,576700,
14/02/2022,150.190002,152.889999,148.380005,151.399994,151.399994,442700,
15/02/2022,153.300003,156.470001,151.339996,154.589996,154.589996,458500,
16/02/2022,153.440002,158.580002,152,157.740005,157.740005,581900,
17/02/2022,155.800003,163.610001,155.029999,158.759995,158.759995,812100,
18/02/2022,157.149994,157.679993,148.589996,149.050003,149.050003,416100,
22/02/2022,147.850006,152.850006,146.839996,147.979996,147.979996,266100,
23/02/2022,148.789993,149.779999,147.339996,148.279999,148.279999,256600,
24/02/2022,144.429993,153.789993,144.259995,153.449997,153.449997,308600,
25/02/2022,153.160004,157.699997,151.820007,157.080002,157.080002,291600,
28/02/2022,154.649994,159.190002,154.610001,158.770004,158.770004,382500,
01/03/2022,159.440002,159.740005,154.330002,156.059998,156.059998,364600,
02/03/2022,156.800003,161.259995,154.919998,159.050003,159.050003,313300,
03/03/2022,159.979996,160.339996,157.210007,158.580002,158.580002,166300,
04/03/2022,156.580002,160.169998,155.009995,159.970001,159.970001,191300,
07/03/2022,160.970001,160.970001,157.610001,158.339996,158.339996,201900,
08/03/2022,157.490005,157.490005,152.050003,152.529999,152.529999,291500,
09/03/2022,155.869995,160.300003,153.470001,159.440002,159.440002,464700,
10/03/2022,155.649994,159.869995,155.649994,159.539993,159.539993,209300,
11/03/2022,160.759995,164.460007,157.210007,158.800003,158.800003,414200,
14/03/2022,159.279999,160.539993,156.300003,158.339996,158.339996,222200,
15/03/2022,159.830002,161.25,158.050003,161.130005,161.130005,143800,
16/03/2022,161.419998,164.160004,159.050003,163.320007,163.320007,285100,
17/03/2022,162.919998,166.410004,161.070007,165.039993,165.039993,217000,
18/03/2022,165.289993,168.369995,163.490005,167.759995,167.759995,536300,
21/03/2022,166.429993,168.589996,164.899994,166.660004,166.660004,201200,
22/03/2022,166.279999,167.059998,163.100006,165.169998,165.169998,206400,
23/03/2022,164.539993,166.850006,162.070007,163.539993,163.539993,182900,
24/03/2022,164.160004,164.929993,162.509995,164.610001,164.610001,173100,
25/03/2022,164.139999,164.960007,162.259995,162.919998,162.919998,158700,
28/03/2022,163.070007,164.320007,161.679993,163.839996,163.839996,166700,
29/03/2022,166.210007,169.949997,164.559998,168.600006,168.600006,211800,
30/03/2022,168.710007,169.309998,166.020004,166.940002,166.940002,153300,
31/03/2022,166.990005,169.600006,164.809998,164.940002,164.940002,229700,
01/04/2022,164.860001,167.800003,164.460007,167.179993,167.179993,221700,
04/04/2022,167.490005,169.080002,166.199997,166.949997,166.949997,204900,
05/04/2022,167.259995,168.080002,164.270004,164.429993,164.429993,292800,
06/04/2022,163.039993,163.039993,155.089996,155.289993,155.289993,773900,
07/04/2022,155.240005,160.770004,155.190002,157.199997,157.199997,297800,
